,name_x,team,projTgts_2025,projRec_2025,projYds_2025,projTD_2025,projFantasyPts_2025
12,Amon-Ra St. Brown,DET,131.36,105.24,1437.48,9.56,306.348
66,Drake London,ATL,141.62,98.76,1422.84,8.68,293.12399999999997
79,Ja'Marr Chase,CIN,129.54,97.08,1297.98,8.0,274.878
186,Trey McBride,ARI,121.82,89.26,1245.78,8.98,267.718
117,Justin Jefferson,MIN,147.38,91.62,1274.34,6.08,255.534 X
72,Garrett Wilson,NYJ,139.88,88.06,1167.98,4.4,231.258
139,Marvin Harrison Jr.,ARI,113.4,73.32,1045.1,8.2,227.02999999999997 X
40,Courtland Sutton,DEN,121.82,81.32,1003.82,6.84,222.742
30,CeeDee Lamb,DAL,134.92,81.68,921.18,5.86,208.958
22,Brian Thomas Jr.,JAX,110.84,75.02,911.78,6.72,206.51799999999997
23,Brock Bowers,LV,108.98,76.4,981.52,4.7,202.752
95,Jaxon Smith-Njigba,SEA,108.06,79.54,945.02,4.78,202.722
156,Puka Nacua,LAR,112.16,75.92,926.68,5.44,201.228
0,A.J. Brown,PHI,116.74,73.12,943.56,4.56,194.836
73,George Kittle,SF,98.22,71.74,871.74,5.66,192.874
103,Jonnu Smith,MIA,108.02,72.84,873.76,5.02,190.336
43,DJ Moore,CHI,115.78,77.94,891.64,3.68,189.184
124,Keenan Allen,CHI,109.82,73.42,863.16,4.76,188.296
143,Mike Evans,TB,109.02,66.0,849.12,6.16,187.872
149,Nico Collins,HOU,118.36,71.66,860.9,4.8,186.55
196,Tyreek Hill,MIA,94.82,62.72,830.64,6.38,184.064
50,Darnell Mooney,ATL,103.98,64.04,873.7,5.38,183.69000000000003
105,Jordan Addison,MIN,100.92,64.2,798.58,6.44,182.69799999999998
177,Tee Higgins,CIN,101.14,57.86,827.32,6.8,181.392
131,Ladd McConkey,LAC,99.56,64.34,869.54,4.98,181.17399999999998
74,George Pickens,PIT,98.08,60.72,785.48,6.32,177.188
84,Jakobi Meyers,LV,97.42,66.18,794.52,5.2,176.832
178,Terry McLaurin,WSH,105.5,69.18,801.34,4.56,176.67400000000004
93,Jauan Jennings,SF,100.72,62.18,760.64,5.88,173.524
60,DeVonta Smith,PHI,86.52,57.12,853.7,5.02,172.61
44,DK Metcalf,SEA,100.94,62.5,731.44,5.9,171.044
141,Michael Pittman Jr.,IND,103.78,61.6,762.46,5.34,169.886
205,Zay Flowers,BAL,90.92,61.08,784.6,4.82,168.46000000000004
204,Zach Ertz,WSH,104.02,67.38,756.52,4.16,167.992
92,Jameson Williams,DET,89.06,58.62,781.28,5.0,166.748
108,Josh Downs,IND,99.92,63.24,747.36,4.02,162.096
97,Jaylen Waddle,MIA,89.56,58.48,754.66,4.46,160.706
77,Hunter Henry,NE,100.6,69.02,710.58,3.14,158.918
168,Sam LaPorta,DET,94.54,59.14,745.86,4.18,158.80599999999998
39,Cooper Kupp,LAR,86.3,58.58,674.24,5.28,157.684
184,Travis Kelce,KC,92.06,63.12,709.26,3.78,156.726
171,Stefon Diggs,HOU,80.98,50.88,703.56,5.9,156.636
33,Chris Godwin,TB,89.82,61.24,732.82,3.6,156.122
96,Jayden Reed,GB,77.86,56.2,729.3,4.04,153.37
4,Adam Thielen,CAR,84.0,49.28,729.0,4.46,148.94
6,Alec Pierce,IND,80.1,43.3,733.74,5.24,148.114
59,DeMario Douglas,NE,85.02,67.1,586.82,3.6,147.382
166,Rome Odunze,CHI,88.52,57.04,668.1,3.76,146.41
19,Brandon Aiyuk,SF,68.0,41.38,699.04,5.26,142.844
157,Quentin Johnston,LAC,73.38,53.46,653.7,3.86,141.99
61,Deebo Samuel Sr.,SF,74.7,50.02,637.56,4.64,141.61599999999999
144,Mike Gesicki,CIN,84.74,58.68,642.88,3.08,141.44799999999998
8,Allen Lazard,NYJ,86.96,55.22,660.38,3.3,141.058
176,Tank Dell,HOU,78.72,45.68,721.1,3.84,140.82999999999998
198,Van Jefferson,PIT,68.26,47.98,608.62,4.86,138.002
150,Noah Brown,WSH,75.2,45.4,681.72,3.84,136.612
