,name,team,qbr,plays,epa,sack,raw,year
0,Aaron Rodgers,GB,58.0,737,70.0,-23.9,54.4,2018
1,Aaron Rodgers,GB,52.5,691,66.4,-16.4,55.6,2019
2,Aaron Rodgers,GB,79.8,608,113.1,-7.0,81.7,2020
3,Aaron Rodgers,GB,74.1,610,95.8,-12.6,73.2,2021
4,Aaron Rodgers,GB,41.3,624,42.6,-16.4,44.0,2022
5,Aaron Rodgers,PIT,48.0,692,51.7,-19.6,46.8,2024
6,Aidan O'Connell,LV,41.3,390,21.3,-9.9,40.4,2023
7,Alex Smith,WSH,46.9,422,35.0,-8.8,51.4,2018
8,Andrew Luck,IND,69.6,741,103.0,-9.3,69.4,2018
9,Andy Dalton,CIN,59.4,433,50.6,-9.8,62.3,2018
10,Andy Dalton,CIN,42.1,632,30.3,-12.9,38.9,2019
11,Andy Dalton,DAL,46.1,409,30.9,-12.1,42.3,2020
12,Andy Dalton,NO,53.1,453,39.7,-12.4,52.1,2022
13,Anthony Richardson Sr.,IND,47.4,375,24.9,-5.6,44.2,2024
14,Baker Mayfield,CLE,51.2,580,51.5,-12.2,53.2,2018
15,Baker Mayfield,CLE,54.4,664,54.4,-17.6,51.2,2019
16,Baker Mayfield,CLE,65.5,597,83.6,-10.6,65.0,2020
17,Baker Mayfield,CLE,40.9,529,34.4,-20.8,40.6,2021
18,Baker Mayfield,LAR,26.3,417,6.0,-14.5,25.9,2022
19,Baker Mayfield,TB,55.1,698,68.2,-14.6,55.8,2023
20,Baker Mayfield,TB,61.6,713,83.5,-18.5,64.6,2024
21,Ben Roethlisberger,PIT,69.6,762,113.5,-10.4,71.0,2018
22,Ben Roethlisberger,PIT,52.5,677,76.0,-6.4,53.3,2020
23,Ben Roethlisberger,PIT,41.3,705,42.5,-13.9,40.5,2021
24,Blake Bortles,JAX,43.4,515,30.5,-11.2,41.7,2018
25,Bo Nix,DEN,56.8,708,69.1,-9.6,57.7,2024
26,Brock Purdy,SF,73.4,530,76.9,-10.2,73.0,2023
27,Brock Purdy,SF,67.9,578,74.3,-11.4,67.5,2024
28,Bryce Young,CAR,34.1,670,28.0,-26.9,35.2,2023
29,Bryce Young,CAR,54.1,496,44.8,-10.9,57.4,2024
30,C.J. Stroud,HOU,58.3,613,63.1,-17.4,57.6,2023
31,C.J. Stroud,HOU,49.8,672,55.8,-22.9,50.0,2024
32,Caleb Williams,CHI,46.7,771,50.4,-26.4,44.9,2024
33,Cam Newton,CAR,53.2,629,62.6,-12.5,55.0,2018
34,Cam Newton,NE,39.4,538,42.9,-13.7,40.9,2020
35,Carson Wentz,PHI,62.0,488,58.5,-13.8,62.6,2018
36,Carson Wentz,PHI,62.8,745,90.5,-15.5,64.8,2019
37,Carson Wentz,PHI,41.9,581,39.4,-21.8,37.1,2020
38,Carson Wentz,IND,60.6,648,74.3,-15.7,60.5,2021
39,Carson Wentz,WSH,34.4,352,14.1,-11.4,36.0,2022
40,Case Keenum,DEN,44.5,685,50.6,-16.0,45.5,2018
41,Cooper Rush,BAL,41.0,360,21.2,-3.8,43.0,2024
42,Dak Prescott,DAL,55.2,693,71.7,-22.3,56.2,2018
43,Dak Prescott,DAL,71.9,690,93.1,-9.7,72.8,2019
44,Dak Prescott,DAL,60.5,721,85.8,-10.7,63.2,2021
45,Dak Prescott,DAL,59.9,480,56.6,-8.3,62.0,2022
46,Dak Prescott,DAL,73.4,724,106.7,-16.3,75.3,2023
47,Dak Prescott,DAL,45.3,351,22.3,-6.9,45.1,2024
48,Daniel Jones,NYG,55.7,577,55.1,-17.4,57.0,2019
49,Daniel Jones,NYG,54.0,586,57.6,-16.9,49.4,2020
50,Daniel Jones,NYG,47.5,472,41.7,-8.1,50.5,2021
51,Daniel Jones,NYG,62.9,665,81.1,-15.4,64.2,2022
52,Daniel Jones,IND,47.8,459,34.5,-12.0,47.2,2024
53,Davis Mills,HOU,41.2,471,25.9,-12.0,40.5,2021
54,Davis Mills,HOU,35.0,573,24.8,-12.7,36.0,2022
55,Derek Carr,OAK,46.5,669,50.8,-20.9,46.9,2018
56,Derek Carr,OAK,64.1,598,70.3,-12.3,65.6,2019
57,Derek Carr,LV,64.3,609,91.1,-10.7,66.2,2020
58,Derek Carr,LV,58.4,747,83.9,-14.8,59.8,2021
59,Derek Carr,LV,57.6,591,62.3,-11.6,56.7,2022
60,Derek Carr,NO,57.3,634,65.8,-14.2,58.4,2023
61,Deshaun Watson,HOU,61.8,702,79.5,-26.8,60.7,2018
62,Deshaun Watson,HOU,70.5,662,91.6,-18.5,71.2,2019
63,Deshaun Watson,HOU,63.7,715,99.6,-19.5,65.3,2020
64,Desmond Ridder,ATL,40.8,496,33.2,-12.4,42.8,2023
65,Drake Maye,NE,58.6,475,43.2,-13.3,57.3,2024
66,Drew Brees,NO,79.2,562,100.5,-8.7,80.4,2018
67,Drew Brees,NO,73.3,419,62.6,-6.0,75.7,2019
68,Drew Brees,NO,68.3,428,66.2,-6.2,71.0,2020
69,Drew Lock,DEN,41.2,523,44.8,-7.8,46.6,2020
70,Eli Manning,NYG,49.1,684,54.8,-20.2,48.7,2018
71,Gardner Minshew,JAX,44.6,600,41.8,-13.5,47.2,2019
72,Gardner Minshew,JAX,44.0,403,31.9,-12.3,48.2,2020
73,Gardner Minshew,IND,60.4,587,60.9,-13.8,58.0,2023
74,Gardner Minshew,KC,38.1,371,17.0,-12.1,36.6,2024
75,Geno Smith,SEA,62.8,725,89.7,-18.9,64.5,2022
76,Geno Smith,SEA,60.3,602,67.9,-12.6,59.8,2023
77,Geno Smith,LV,53.8,739,69.3,-23.3,54.6,2024
78,Jacoby Brissett,IND,52.1,564,52.2,-11.2,54.1,2019
79,Jacoby Brissett,CLE,62.0,466,51.5,-9.2,61.4,2022
80,Jalen Hurts,PHI,54.6,622,65.7,-10.9,58.4,2021
81,Jalen Hurts,PHI,68.3,683,95.7,-13.9,70.8,2022
82,Jalen Hurts,PHI,60.9,773,86.9,-12.9,60.0,2023
83,Jalen Hurts,PHI,65.6,558,73.7,-15.3,67.7,2024
84,Jameis Winston,TB,66.2,485,65.6,-11.6,69.7,2018
85,Jameis Winston,TB,55.7,772,78.4,-18.3,59.1,2019
86,Jameis Winston,NYG,55.6,370,30.8,-8.4,52.8,2024
87,Jared Goff,LAR,63.6,665,79.9,-14.0,63.1,2018
88,Jared Goff,LAR,50.6,734,57.5,-8.8,50.2,2019
89,Jared Goff,LAR,50.8,650,64.0,-11.0,49.2,2020
90,Jared Goff,DET,45.5,587,37.4,-16.8,43.4,2021
91,Jared Goff,DET,63.3,668,78.5,-9.9,64.8,2022
92,Jared Goff,DET,61.1,690,72.3,-10.8,60.8,2023
93,Jared Goff,DET,68.4,617,75.5,-13.1,67.1,2024
94,Jayden Daniels,WSH,70.6,698,98.4,-17.9,72.3,2024
95,Jimmy Garoppolo,SF,60.8,593,69.3,-15.9,62.1,2019
96,Jimmy Garoppolo,SF,59.2,530,57.8,-11.7,58.0,2021
97,Jimmy Garoppolo,SF,56.3,367,38.5,-9.2,58.3,2022
98,Joe Burrow,CIN,48.5,510,47.8,-13.3,46.8,2020
99,Joe Burrow,CIN,60.2,642,79.4,-22.9,63.5,2021
100,Joe Burrow,CIN,60.8,750,79.6,-16.0,59.0,2022
101,Joe Burrow,CIN,52.4,431,38.0,-11.2,51.1,2023
