,name,team,gp,rec,tgts,recYds,recTD,recYdsPer,yac,firstDowns,avgPerRec,targets_per_game,year
0,A.J. Brown,TEN,16,52,84,"1,051",8,65.7,463,39,20.2,5.25,2019
1,A.J. Brown,TEN,14,70,106,"1,075",11,76.8,422,55,15.4,7.571428571428571,2020
2,A.J. Brown,TEN,13,63,105,869,5,66.8,248,45,13.8,8.076923076923077,2021
3,A.J. Brown,PHI,17,88,145,"1,496",11,88.0,548,59,17.0,9.0625,2022
4,A.J. Brown,PHI,17,106,158,"1,456",7,85.6,473,70,13.7,11.285714285714286,2023
5,A.J. Brown,PHI,13,67,97,"1,079",7,83.0,353,51,16.1,5.705882352941177,2024
6,A.J. Green,CIN,9,46,77,694,6,77.1,173,37,15.1,8.555555555555555,2018
7,A.J. Green,CIN,16,47,104,523,2,32.7,90,34,11.1,6.5,2020
8,A.J. Green,ARI,16,54,92,848,3,53.0,181,37,15.7,5.75,2021
9,A.J. Green,ARI,15,24,47,236,2,15.7,56,11,9.8,3.9166666666666665,2022
10,A.T. Perry,NO,10,12,18,246,4,24.6,20,10,20.5,1.8,2023
11,AJ Barner,SEA,17,30,38,245,4,14.4,164,18,8.2,2.375,2024
12,AJ Dillon,GB,17,34,37,313,2,18.4,310,15,9.2,2.176470588235294,2021
13,AJ Dillon,GB,17,28,43,206,0,12.1,197,9,7.4,5.375,2022
14,AJ Dillon,GB,15,22,28,223,0,14.9,231,10,10.1,2.5454545454545454,2023
15,Aaron Jones Sr.,GB,16,49,68,474,3,29.6,453,18,9.7,4.25,2019
16,Aaron Jones Sr.,GB,14,47,63,355,2,25.4,367,15,7.6,4.5,2020
17,Aaron Jones Sr.,GB,15,52,65,391,6,26.1,412,22,7.5,4.333333333333333,2021
18,Aaron Jones Sr.,GB,17,59,72,395,5,23.2,447,19,6.7,4.5,2022
19,Aaron Jones Sr.,GB,11,30,43,233,1,21.2,271,13,7.8,3.909090909090909,2023
20,Aaron Jones Sr.,MIN,17,51,62,408,2,24.0,411,20,8.0,3.875,2024
21,Adam Humphries,TB,16,76,105,816,5,51.0,414,48,10.7,6.5625,2018
22,Adam Humphries,TEN,12,37,47,374,2,31.2,122,20,10.1,3.9166666666666665,2019
23,Adam Humphries,TEN,7,23,35,228,2,32.6,48,11,9.9,5.0,2020
24,Adam Humphries,WSH,17,41,62,383,0,22.5,150,23,9.3,3.6470588235294117,2021
25,Adam Thielen,MIN,16,113,153,"1,373",9,85.8,428,74,12.1,9.5625,2018
26,Adam Thielen,MIN,10,30,48,418,6,41.8,123,18,13.9,4.8,2019
27,Adam Thielen,MIN,15,74,108,925,14,61.7,231,52,12.5,7.2,2020
28,Adam Thielen,MIN,17,70,107,716,6,42.1,152,45,10.2,7.133333333333334,2022
29,Adam Thielen,CAR,17,103,137,"1,014",4,59.6,345,56,9.8,9.133333333333333,2023
30,Adam Thielen,CAR,10,48,62,615,5,61.5,152,28,12.8,3.6470588235294117,2024
31,Adam Trautman,NO,13,27,43,263,2,20.2,111,13,9.7,3.3076923076923075,2021
32,Adam Trautman,NO,15,18,22,207,1,13.8,123,9,11.5,1.5714285714285714,2022
33,Adam Trautman,DEN,17,22,35,204,3,12.0,98,10,9.3,2.1875,2023
34,Adonai Mitchell,IND,17,23,55,312,0,18.4,101,16,13.6,3.4375,2024
35,Albert Okwuegbunam Jr.,DEN,14,33,40,330,2,23.6,245,15,10.0,2.857142857142857,2021
36,Albert Wilson,MIA,7,26,35,391,4,55.9,345,11,15.0,5.0,2018
37,Albert Wilson,MIA,13,43,62,351,1,27.0,181,22,8.2,4.769230769230769,2019
38,Albert Wilson,MIA,14,25,39,213,0,15.2,143,10,8.5,2.7857142857142856,2021
39,Aldrick Robinson,MIN,14,17,35,231,5,16.5,41,12,13.6,2.5,2018
40,Alec Pierce,IND,16,41,78,593,2,37.1,113,28,14.5,4.875,2022
41,Alec Pierce,IND,17,32,65,514,2,30.2,97,24,16.1,5.416666666666667,2023
42,Alec Pierce,IND,16,37,69,824,7,51.5,118,32,22.3,4.3125,2024
43,Alex Erickson,CIN,16,43,78,529,0,33.1,230,26,12.3,4.875,2019
44,Alex Erickson,LAC,8,16,29,232,1,29.0,63,12,14.5,2.0714285714285716,2023
45,Alexander Mattison,MIN,16,32,39,228,1,14.3,238,10,7.1,2.4375,2021
46,Alexander Mattison,LV,14,36,48,294,1,21.0,314,13,8.2,4.8,2024
47,Allen Hurns,DAL,16,20,35,295,2,18.4,67,11,14.8,2.1875,2018
48,Allen Hurns,MIA,14,32,47,416,2,29.7,101,18,13.0,3.357142857142857,2019
49,Allen Lazard,GB,16,35,52,477,3,29.8,145,24,13.6,3.25,2019
50,Allen Lazard,GB,10,33,46,451,3,45.1,195,23,13.7,4.6,2020
51,Allen Lazard,GB,15,40,60,513,8,34.2,168,28,12.8,4.0,2021
52,Allen Lazard,GB,15,60,100,788,6,52.5,248,45,13.1,6.25,2022
53,Allen Lazard,NYJ,14,23,49,311,1,22.2,56,17,13.5,3.5,2023
54,Allen Lazard,NYJ,12,37,60,530,6,44.2,155,29,14.3,3.75,2024
55,Allen Robinson,CHI,13,55,94,754,4,58.0,239,36,13.7,7.230769230769231,2018
56,Allen Robinson,CHI,16,98,154,"1,147",7,71.7,279,63,11.7,9.625,2019
57,Allen Robinson,CHI,16,102,151,"1,250",6,78.1,339,68,12.3,9.4375,2020
58,Allen Robinson,CHI,12,38,66,410,1,34.2,101,22,10.8,5.5,2021
